,blueTopChamp,blueJungleChamp,blueMiddleChamp,blueADCChamp,blueSupportChamp,redTopChamp,redJungleChamp,redMiddleChamp,redADCChamp,redSupportChamp,b1,b2,b3,b4,b5,r1,r2,r3,r4,r5
5132,Maokai,Elise,Ryze,Ezreal,Karma,Taliyah,RekSai,Azir,Lucian,Alistar,Twitch, Trundle, Soraka,,,Nidalee, Ekko, Kindred,,
5133,Maokai,Nidalee,Swain,Ezreal,Braum,Trundle,Kindred,Gangplank,Lucian,Morgana,Azir, Viktor, Karma,,,Twitch, Soraka, Ryze,,
5134,Poppy,Kindred,Vladimir,Ezreal,Soraka,Maokai,LeeSin,Viktor,Lucian,Karma,Twitch, Trundle, Swain,,,Ryze, Azir, Nidalee,,
5135,Fizz,Ekko,Swain,Ezreal,Karma,Maokai,RekSai,Vladimir,Sivir,Braum,Azir, Kindred, Trundle,,,Nidalee, Ryze, Lucian,,
5136,Trundle,Graves,Swain,Ezreal,Bard,Ekko,RekSai,TwistedFate,Caitlyn,Karma,Nidalee, Ryze, Lucian,,,Vladimir, Azir, Kindred,,
5137,Maokai,Nidalee,Azir,Ashe,Soraka,Swain,Kindred,Ryze,Sivir,TahmKench,Lucian, Bard, Trundle,,,Viktor, Fiora, Ezreal,,
5138,Trundle,Nidalee,Viktor,Ezreal,Braum,Ekko,Kindred,TwistedFate,Ashe,Nami,Fiora, Azir, Lucian,,,Ryze, Bard, Sivir,,
5139,Ekko,Elise,TwistedFate,Ashe,Nami,Poppy,RekSai,Leblanc,Ezreal,Zyra,Kindred, Ryze, Bard,,,Azir, Viktor, Lucian,,
5140,Maokai,Elise,Viktor,Caitlyn,Bard,Irelia,Gragas,Azir,Jhin,Nami,Ashe, TwistedFate, RekSai,,,Vladimir, Swain, Trundle,,
5141,Yasuo,Zac,Viktor,Sivir,Nami,Maokai,Elise,Ryze,Ezreal,Janna,Trundle, Swain,,,,RekSai, TwistedFate, Vladimir,,
5142,Gnar,Kindred,Azir,Caitlyn,Bard,Trundle,Gragas,Varus,Ezreal,Karma,TwistedFate, Nami, Viktor,,,Vladimir, Swain, RekSai,,
5143,Trundle,RekSai,Orianna,Ezreal,Nami,Jax,Elise,TwistedFate,Lucian,Karma,Vladimir, Ryze, Fizz,,,Kindred, Maokai, Zed,,
5144,Irelia,RekSai,Viktor,Lucian,Braum,Shen,Nidalee,Diana,Sivir,Alistar,Kindred, Maokai, Zed,,,Vladimir, Ryze, Fizz,,
5145,Maokai,RekSai,TwistedFate,Ashe,Thresh,Trundle,Elise,Kassadin,Sivir,Karma,Vladimir, Ryze, Fizz,,,Diana, Shen, Kindred,,
5146,Maokai,Kindred,Vladimir,Ashe,Karma,Fizz,RekSai,Anivia,Ezreal,Braum,Viktor, Swain, Trundle,,,Azir, Ryze, Irelia,,
